timestamp,tekst_oryginalny,frazy_kluczowe,znalezione_frazy,ilosc_wszystkich,wyniki_spacy,wyniki_gpt,statystyki,wyniki
2025-01-06 06:27:06,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielonych doniczek"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki. jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""jednokolorowe zielone doniczki"", ""typ"": ""zmieniona_kolejność""}, {""fragment"": ""zielone doniczki w oryginalne wzory"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 5, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 1, ""zmieniona_kolejność"": 1, ""rozszerzone"": 1}}",
2025-01-06 06:28:37,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielonych doniczek"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki jednokolorowe"", ""typ"": ""rozszerzone""}, {""fragment"": ""zielone donice geometryczne"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 4, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 0, ""zmieniona_kolejność"": 0, ""rozszerzone"": 2}}",
2025-01-06 06:30:04,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielonych doniczek"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki jednokolorowe"", ""typ"": ""rozszerzone""}, {""fragment"": ""zielone donice geometryczne"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 4, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 0, ""zmieniona_kolejność"": 0, ""rozszerzone"": 2}}",
2025-01-06 06:31:12,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielonych doniczek"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki jednokolorowe"", ""typ"": ""rozszerzone""}, {""fragment"": ""zielone donice geometryczne"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 4, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 0, ""zmieniona_kolejność"": 0, ""rozszerzone"": 2}}",
2025-01-06 06:32:07,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielone donice"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki jednokolorowe"", ""typ"": ""rozszerzone""}, {""fragment"": ""zielone doniczki - jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki. Wykorzystaj je"", ""typ"": ""rozdzielone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 5, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 2, ""zmieniona_kolejność"": 0, ""rozszerzone"": 1}}",
2025-01-06 06:34:44,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielone donice"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki jednokolorowe"", ""typ"": ""rozszerzone""}, {""fragment"": ""zielone doniczki - jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki. Wykorzystaj je"", ""typ"": ""rozdzielone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 5, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 2, ""zmieniona_kolejność"": 0, ""rozszerzone"": 1}}",
2025-01-06 06:37:11,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielone donice"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki jednokolorowe"", ""typ"": ""rozszerzone""}, {""fragment"": ""zielone doniczki - jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki. Wykorzystaj je"", ""typ"": ""rozdzielone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 5, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 2, ""zmieniona_kolejność"": 0, ""rozszerzone"": 1}}",
2025-01-06 06:39:00,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielonych doniczek"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki. jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki - jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki w oryginalne wzory"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 5, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 2, ""zmieniona_kolejność"": 0, ""rozszerzone"": 1}}",
2025-01-06 06:39:49,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielonych doniczek"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki. jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki - jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki w oryginalne wzory"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 5, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 2, ""zmieniona_kolejność"": 0, ""rozszerzone"": 1}}",
2025-01-06 06:40:50,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielonych doniczek"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki. jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki - jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki w oryginalne wzory"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 5, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 2, ""zmieniona_kolejność"": 0, ""rozszerzone"": 1}}",
2025-01-06 06:41:35,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielonych doniczek"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki. jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki - jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki w oryginalne wzory"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 5, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 2, ""zmieniona_kolejność"": 0, ""rozszerzone"": 1}}",
2025-01-06 06:43:04,Darek przyszedł do darii zagrać w dareckiego.,Darek,,,"{""Darek"": 1}","{""Darek"": [{""fragment"": ""Darek"", ""typ"": ""dokładne""}, {""fragment"": ""darią"", ""typ"": ""odmiana""}, {""fragment"": ""dareckiego"", ""typ"": ""odmiana""}]}","{""total_spacy_matches"": 1, ""total_gpt_variants"": 3, ""match_types"": {""dokładne"": 1, ""odmiana"": 2, ""rozdzielone"": 0, ""zmieniona_kolejność"": 0, ""rozszerzone"": 0}}",
2025-01-06 06:44:55,"Jak schudnąć? Dieta i sposoby na zdrowe odchudzanie
Zastanawiasz się, jak schudnąć? Odkryj sprawdzon...",jak schudnąć,,,"{""jak schudnąć"": 8}","{""jak schudnąć"": [{""fragment"": ""jak schudnąć?"", ""typ"": ""dokładne""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""odmiana""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""rozdzielone""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""zmieniona_kolejność""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""rozszerzone""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""dokładne""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""odmiana""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""rozdzielone""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""zmieniona_kolejność""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""rozszerzone""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""dokładne""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""odmiana""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""rozdzielone""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""zmieniona_kolejność""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""rozszerzone""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""dokładne""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""odmiana""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""rozdzielone""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""zmieniona_kolejność""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""rozszerzone""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""dokładne""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""odmiana""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""rozdzielone""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""zmieniona_kolejność""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 8, ""total_gpt_variants"": 25, ""match_types"": {""dokładne"": 5, ""odmiana"": 5, ""rozdzielone"": 5, ""zmieniona_kolejność"": 5, ""rozszerzone"": 5}}",
2025-01-06 06:47:03,"Jak schudnąć? Dieta i sposoby na zdrowe odchudzanie
Zastanawiasz się, jak schudnąć? Odkryj sprawdzon...",jak schudnąć,,,"{""jak schudnąć"": 8}","{""jak schudnąć"": [{""fragment"": ""jak schudnąć?"", ""typ"": ""dokładne""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""odmiana""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""rozdzielone""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""zmieniona_kolejność""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""rozszerzone""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""dokładne""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""odmiana""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""rozdzielone""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""zmieniona_kolejność""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""rozszerzone""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""dokładne""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""odmiana""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""rozdzielone""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""zmieniona_kolejność""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""rozszerzone""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""dokładne""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""odmiana""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""rozdzielone""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""zmieniona_kolejność""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""rozszerzone""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""dokładne""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""odmiana""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""rozdzielone""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""zmieniona_kolejność""}, {""fragment"": ""jak schudnąć?"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 8, ""total_gpt_variants"": 25, ""match_types"": {""dokładne"": 5, ""odmiana"": 5, ""rozdzielone"": 5, ""zmieniona_kolejność"": 5, ""rozszerzone"": 5}}",
2025-01-06 06:48:05,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielonych doniczek"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki. jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki - jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki w oryginalne wzory"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 5, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 2, ""zmieniona_kolejność"": 0, ""rozszerzone"": 1}}",
2025-01-06 06:49:16,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielonych doniczek"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki. jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki - jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""zielone doniczki w oryginalne wzory"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 5, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 2, ""zmieniona_kolejność"": 0, ""rozszerzone"": 1}}",
2025-01-06 06:53:46,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielonych doniczek"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki. jednokolorowe"", ""typ"": ""rozdzielone""}, {""fragment"": ""doniczki zielone"", ""typ"": ""zmieniona_kolejność""}, {""fragment"": ""zielone doniczki do wsadzenia"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 5, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 1, ""zmieniona_kolejność"": 1, ""rozszerzone"": 1}}",
2025-01-06 06:54:43,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielonych doniczek"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki jednokolorowe"", ""typ"": ""rozszerzone""}, {""fragment"": ""zielone donice geometryczne"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 4, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 0, ""zmieniona_kolejność"": 0, ""rozszerzone"": 2}}",
2025-01-06 06:56:18,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielonych doniczek"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki jednokolorowe"", ""typ"": ""rozszerzone""}, {""fragment"": ""zielone donice geometryczne"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 4, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 0, ""zmieniona_kolejność"": 0, ""rozszerzone"": 2}}",
2025-01-06 06:59:25,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",ZIELONE DONICZKI,,,"{""ZIELONE DONICZKI"": 2}","{""ZIELONE DONICZKI"": [{""fragment"": ""Zielone Doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielone doniczki"", ""typ"": ""odmiana""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 2, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 0, ""zmieniona_kolejność"": 0, ""rozszerzone"": 0}}",
2025-01-06 06:59:41,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": 2}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielonych doniczek"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki jednokolorowe"", ""typ"": ""rozszerzone""}, {""fragment"": ""zielone donice geometryczne"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 4, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 0, ""zmieniona_kolejność"": 0, ""rozszerzone"": 2}}",
2025-01-06 07:00:09,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki jednokolorowe,,,"{""zielone doniczki jednokolorowe"": 1}","{""zielone doniczki jednokolorowe"": [{""fragment"": ""zielone doniczki jednokolorowe"", ""typ"": ""dokładne""}]}","{""total_spacy_matches"": 1, ""total_gpt_variants"": 1, ""match_types"": {""dokładne"": 1, ""odmiana"": 0, ""rozdzielone"": 0, ""zmieniona_kolejność"": 0, ""rozszerzone"": 0}}",
2025-01-06 07:06:36,"Zielone Doniczki
Kolor zielony symbolizuje witalność, nadzieję i równowagę. Nic dziwnego, że obecnoś...",zielone doniczki,,,"{""zielone doniczki"": {""count"": 2, ""variants"": [""Zielone Doniczki"", ""zielone doniczki""]}}","{""zielone doniczki"": [{""fragment"": ""zielone doniczki"", ""typ"": ""dokładne""}, {""fragment"": ""zielonych doniczek"", ""typ"": ""odmiana""}, {""fragment"": ""zielone doniczki jednokolorowe"", ""typ"": ""rozszerzone""}, {""fragment"": ""zielone donice geometryczne"", ""typ"": ""rozszerzone""}]}","{""total_spacy_matches"": 2, ""total_gpt_variants"": 4, ""match_types"": {""dokładne"": 1, ""odmiana"": 1, ""rozdzielone"": 0, ""zmieniona_kolejność"": 0, ""rozszerzone"": 2}}",
